L74|Determinantes de los precios relativos de la vivienda: Bogotá versus Medellín|No abstract is available for this item.
L74|Efectos del crédito hipotecario sobre el precio de la vivienda nueva NO VIS en Medellín|No abstract is available for this item.
L74|Efectos del crédito hipotecario sobre el precio de la vivienda nueva NO VIS en Medellín|No abstract is available for this item.
L74|Procurement Centralization in the EU: the Case of Italy|This paper analyzes the process of centralization of public procurement in Europe, with an emphasis on the Italian case. It illustrates the main normative and regulatory reforms that took place between 2000 and 2016 at both EU and Italian levels. It then empirically evaluates the potential distortions induced by the most recent wave of centralization reforms. Using procurement data on all Italian public contracts awarded between 2015 and 2017, it finds that administrations expecting to lose their ability to contract independently game the centralization requirements in three ways. In the short run, they anticipate their purchases to avoid delegating to a central body. In the longer run, they both manipulate contract values, breaking down purchases into smaller lots of amounts below the thresholds driving centralization requirements, and, when given the option, aggregate into the smallest types of centralized purchasing bodies. These three distortions partially offset the potential benefits of the centralization reforms.
L74|Worsening Workers' Health by Lowering Retirement Age: The Malign Consequences of a Benign Reform|In 2003, the retirement age of Swiss construction workers was lowered from 65 to 60. This reform has been intended to improve their health. Our study shows the opposite outcome. The human capital theory suggests that investments in employees’ productivity by the employer and the employees themselves depend on the time remaining until their retirement. Hence, we hypothesize that pension reforms that reduce employees’ working horizon decrease investments in work-related human capital, which translates into a higher prevalence of sickness absences, a longer absence duration, and worse health. By econometrically comparing pre- and post-reform cohorts of construction workers with other blue-collar workers, we find that among 56–60-year-old construction workers, their sickness absences increase from 3.2% to 5.6%, their sickness duration increases by 33%, and their probability of having health problems increases from 9% to 12.7% due to the reform.
L74|The labour demand effects of residential building retrofits in Poland|This paper analyses the potential direct impact of intensifying residential energy retrofitting on the Polish labour market. We distinguish eight building classes, for which we quantify the labour intensity of improvements to building insulation and heating systems. We account for work performed by low-, medium- and high-skilled workers. We define the baseline scenario of maintaining the current rate of retrofitting and three scenarios of its acceleration (up to two times) and increased comprehensiveness. We estimate the resulting additional labour demand and changes to the unemployment rate at the country and NUTS2 region level. Our results show that the most ambitious scenario of increased energy retrofitting would see the creation of approx. 100,000 additional jobs nationwide per year, with the majority of this added demand concerning low-skilled persons. This effect is predominantly caused by energy retrofits to single-family buildings. The effect of building insulation retrofits on the labour demand is 3-4 times greater than the effect of heating and hot water system upgrades.
L74|Worker Flows, Entry and Productivity in the New Zealand Construction Industry|The 21st century global decline in productivity growth is not well understood. One possible contributor is a decline in economic dynamism. We explore the contribution of firm formation and employee movement to productivity using administrative data on the population of New Zealand construction firms from 2001-2012, along with linked data on their employees and working proprietors, to study the relationships among entry, worker flows and firm productivity. Entrants are more productive than pre-existing firms. Firms that enter and stay exhibit a persistent productivity advantage that averages about seven percent, but which grows as experience accumulates. We find that job churn is prevalent in construction, with around 60 percent of firm-worker pairs not existing previously or not existing subsequently. Firms with new employees are more productive than those with no change in workforce, in part because of knowledge flows from other construction firms. In our preferred specification, with firm fixed effects, a standard deviation increase in the productivity of new employees' previous firms is associated with a 0.6 percent increase in productivity. The entry and worker-knowledge-flow phenomena are distinct, in that the entry effect is not explained by employee composition, and non-entrant firms also benefit from worker knowledge flows.
L74|Worker flows, entry, and productivity in New Zealand’s construction industry|We use administrative data on the population of New Zealand construction firms from 2001-2012, along with linked data on their employees and working proprietors, to study the relationships among worker flows, entry, and firm productivity. We find that job churn is prevalent in construction, with around 60 percent of firm-worker pairs not existing previously or not existing subsequently. The data also show that firms gaining or losing any labour are more productive than static firms, and that firms gaining labour from other construction firms are 4-6 percent more productive than the industry average in a given year. Our analysis suggests such firms are productive in part because of knowledge flows from other construction firms; in our preferred specification, with firm fixed effects, a standard deviation increase in the productivity of new employees’ previous firms is associated with a 0.6 percent increase in productivity. New entrants are more productive than pre-existing firms. Firms that enter briefly and disappear exhibit high productivity for that brief period, and firms that enter and persist exhibit a persistent productivity advantage that averages about 5%, but which grows as experience accumulates. The entry and worker-knowledge-flow phenomena are distinct, in that the entry effect is not explained by employee composition, and non-entrant firms also benefit from worker knowledge flows.
L74| Private Investment in a Mining Export Economy: A Model for Peru| This paper presents a theoretical model about investment in the mining sector and the housing sector. The demand for investment in mining, a demand derived from mining production, limited by a non-renewable production factor, is financed at the interest rate fixed by the world market. In the housing sector, the price and volume of investment are determined in the local market, by supply and demand. The model shows the strong dependence on mining investment and the housing of international conditions. Likewise, the existence of a non-renewable mining production factor implies that, with the passage of time, if new mines are not discovered, investment in mining and housing should be reduced. JEL Classification-JEL: E22 , L72 , L74
L74| The determinants of private investment in a mining export economy. Peru: 1997-2017| Peru is an economy where about 60 percent of exports are mineral, of which copper, in turn, represents half. What is the weight of international factors and domestic factors in determining private investment in this mining export economy? In this paper, we identify the dominant influence of international conditions on the evolution of private investment in Peru, as well as the enormous individual weight of the price of exports in this evolution. In the period 1997-2017, external factors explained 54, 64 and 44 percent of the variance in the growth rate of total private investment, mining investment, and non-mining investment, respectively; while more than half of the weight of external factors was explained by the price of exports. On the other hand, internal factors explained 46, 36 and 56 percent of the variance in the growth rate of total private investment, mining investment. and non-mining investment; while about 40 percent of the weight of domestic factors was explained by public investment. These findings are important because they show the price of exports to be the main channel connecting private investment in Peru with the world economy, and public investment as the most effective policy variable affecting it. JEL Classification-JEL: C32 , E22 , E32 , H54 , L72 , L74
L74|Modeling and Checking the Power Quality of High Pressure Sodium Vapor Lamp|High pressure sodium Vapor lamps due to long service life High Light, as the most comprehensive street lighting and industrial lighting Whose use is increasing day by day. One of the major drawbacks to these lamps is producing a lot of current harmonic. Therefore, check the Power Quality of these lamps becomes necessary. To check the quality of our lamps, it's necessary to express the exact model of these lamps. In this paper, we simulate a high-pressure lamp based on plasma physics equations. With this exact model, the power consumption of these lamps is considered by using THD and the results are compared with the standard values. In this paper, taking into account the magnetic ballast for a high-pressure sodium Vapor lamp, a precise simulation of these lamps was performed using the MATLAB / Simulink software.
L74|Bid Rigging And Entry Deterrence In Public Procurement: Evidence From An Investigation Into Collusion And Corruption In Quebec|We study the impact of an investigation into collusion and corruption to learn about the organization of cartels in public procurement auctions. Our focus is on MontrealÂ’s asphalt industry, where there have been allegations of bid rigging, market segmentation, complementary bidding and bribes to bureaucrats, and where, in 2009, a police investigation was launched. We collect procurement data and use a difference-in-difference approach to compare outcomes before and after the investigation in Montreal and in Quebec City, where there have been no allegations of collusion or corruption. We find that entry and participation increased, and that the price of procurement decreased. We then decompose the price decrease to quantify the importance of two aspects of cartel organization, coordination and entry deterrence, for collusive pricing. We find that the latter explains only a small part of the decrease.
