N26|Concentración bancaria, competencia y estabilidad financiera en Colombia|No abstract is available for this item.
N26|Did the recent Brazilian economic defaults originate from real economic or financial issues?|This paper aims to discover whether the origins of the recent Brazilian economic defaults (2009, 2015, and 2016) were related to the real economy or to pure financial transactions. To do so, we analyzed the discrepancy of dispersion index (DDI) and structural path decomposition from flow of funds (FOF) matrices of the Brazilian economy from 2004 to 2015. Financial transactions mirrored real transactions in almost every year, except in 2008, when financial transactions more highly contributed to the imbalance. Additionally, the total value of financial firms’ transactions grew more than that of non-financial firms in periods preceding economic defaults (2008 and 2014) while the continued growth of non-financial firms transactions decreased the DDI in 2009 and 2015. Changes in the power of dispersion indices corroborated this observation by pointing out that the government and non-financial firms reduced their financial sharing while financial firms improved their role as financial intermediaries and, at the same time, the rest of the world was receiving a significant portion of Brazilian savings.
N26|Relationship Networks in Banking Around a Sovereign Default and Currency Crisis|We study how banks' exposure to a sovereign default and a sharp currency devaluation gets transmitted onto the corporate non-financial sector. To do so we use a proprietary data set for the universe of banks and firms in Argentina during the crisis of 2001. We proceed in three steps. First, we exploit the variation in the data at the bank-level to show that there is a negative correlation between banks' pre-crisis exposure to sovereign debt and foreign currency liabilities and their post-crisis lending. Second, we build a model characterized by matching frictions in which firms establish (long-term) relationships with banks that are subject to balance sheet disruptions and derive a set of testable implications. Credit relationships with banks more exposed to the crisis suffer the most (independent of the state of the borrower). However, this relationship level effect might overstate the true cost of the crisis. After the shock, firms with investment opportunities (e.g. exporters after a devaluation) might find profitable to switch lenders, reducing the negative impact on overall credit and activity. Finally, we use linked bank-firm data and data aggregated to the firm level to test the predictions of the model. We find evidence largely consistent with our theory.
N26|How local conditions affect global banking: The case of BBVA and Santander|This paper explores why Spanish banks internationalise and why Latin America has been the main region for the international expansion of BBVA and Santander. It shows that prior to 1986 Spanish banks had a limited presence abroad, and analyses the main drivers of this initial expansion (remittances and trade connections). However, from 1986 on, there was a confluence of domestic and external factors (economic and regulatory changes in Latin America) that encouraged the international forays of BBVA and Santander. The fact that changes in the Spanish and the Latin American financial sectors occurred just when other transnational banks were turning their attention to other regions created the optimal conditions for the expansion of Spanish banks in Latin America.
N26|Informational asymmetries and private credit in Lima, Peru, 1825-65|"""This article examines the credit market of Lima, Peru, in 1825-65 and analyzes the effects of information asymmetries on the allocation of credit. Family loans were associated with lower interest rates due to differences in information costs. However, private lenders did not allocate a large portion of loans to their relatives. As the elite was largely known, lenders partly coped with information asymmetries by lending to the elite. Specialists on lending also rose in response to market imperfections. By economizing on screening and monitoring, specialists partly coped with information asymmetries. The evidence also suggests that notaries served as intermediaries and reduced information costs. Nevertheless, private lenders did not fully cope with information asymmetries: high information costs severely restricted interregional lending."""
N26|Flow-of-funds analysis in the Brazilian economy (2004–2014)|This paper is applies the flow-of-funds (FOF) framework proposed by Tsujimura and Mizoshita (2004) to investigate the structure of financial system in the Brazilian economy. The study presents the compilation process of the asset–liability matrix (ALM) and then develops an ALM with six institutional sectors (households, non-financial firms, government, the rest of world, financial firms and the Central Bank of Brazil) for the years 2004 to 2014. From the Brazilian ALM, FOF indexes are calculated (the power of dispersion, the sensitivity of dispersion and the discrepancy of dispersion). For selected years, the structural decomposition of change in the discrepancy index is calculated and an additional expansion presents an ALM with four additional financial firms: three government-sponsored banks—Banco do Brasil, Caixa Econômica Federal, and Banco Nacional de Desenvolvimento Econômico e Social —and one private bank—Itaú. The role of each institutional sector in the Brazilian financial system is illustrated and the discrepancy of dispersion is highlighted with a good indicator of economic problems showing that the origin of recessions in Brazilian economy was almost in the structure of the financial system.
N26|Repatriando capital sin plata. Redes de paisanaje, comercio de frutos y giro de letras entre Venezuela y España, 1785-1796|This paper offers some evidences about the circulation of capital between Venezuela and Spain at the end of the eighteenth century through the case study of the Spanish merchant Esteban González de Linares (1751-1802). Our sources are private nature: an accounting book and some letters of Esteban González de Linares with Francisco de Gibaja, shipowner and merchant in Santander, and other people (335 letters). These documents show a wide variety of channels to the transfer of capitals from the colony to the metropolis, both at large operations and small deliveries. González de Linares became, during his stay in Caracas (1785-1791), an important agent in the transfer of savings from the colony. The scarcity of silver and gold in Venezuela during this period justifies that the transfer of capital did promote the export of groceries (cocoa, indigo) and the development of financial markets (orders and bills of exchange).
N26|Conquering the market: The expansion strategies of Santander and BBVA in Latin America|Three decades ago, and with very few precedents, Spain's two principal banking corporations began an intense process of expansion throughout Latin America. Not only did they compete with one other in this new market, but they also faced competition from domestic Latin American banks and other foreign banks. This paper analyses the key elements that encouraged these two banks to enter the Latin American market. It assesses their success or failure in each country they entered, and in the subcontinent as a whole. Finally, it examines the different strategies they used to achieve their aims.
N26|Was Colonialism Fiscally Sustainable? An Empirical Examination of the Colonial Finances of Spanish America|This paper examines the long-run fiscal sustainability of the colonial finances of Spanish America. Using econometric tests of intertemporal stability and a macroeconomic budget constraint framework, the analysis revisits how the long-run fiscal dynamics of the colonial treasuries adjusted for inflation changed over time. Findings suggest that in spite of historical breakpoints associated to major financial difficulties during wartime, in general the treasuries achieved sustainable fiscal balances. However, there was a shifting pattern of fiscal sustainability between the treasuries across the colonial period.
N26|An Index of Regulatory Practices for Financial Inclusion in Latin America|The index assesses and compares the quality of regulations that influence financial inclusion in 8 Latin American countries. It defines three categories of regulatory practices: the enablers, which determine the overall quality of the financial environment; the promoters, which deal with specific market frictions; and the preventers which create distortions and barriers.
N26|Un indice de practicas regulatorias para la Inclusion Financiera en America Latina|El indice valora y compara la calidad de las regulaciones que influyen en la inclusion financiera de 8 paises de America Latina. Define tres categorias de practicas regulatorias: los facilitadores, que determinan la calidad del entorno financiero; los promotores, que abordan fallos de mercado especificos; y los obstaculizadores, que crean distorsiones y barreras.
